,Polylines,X,Y
0,0,23.0,174.0
1,0,24.0,174.0
2,0,25.0,173.0
3,0,25.0,172.0
4,0,26.0,171.0
5,0,27.0,170.0
6,0,27.0,170.0
7,0,27.0,169.0
8,0,28.0,168.0
9,0,28.0,168.0
10,0,29.0,167.0
11,0,30.0,166.0
12,0,31.0,166.0
13,0,32.0,165.0
14,0,33.0,165.0
15,0,34.0,164.0
16,0,35.0,163.0
17,0,36.0,163.0
18,0,37.0,162.0
19,0,38.0,161.0
20,0,38.0,161.0
21,0,39.0,160.0
22,0,39.0,159.0
23,0,40.0,158.0
24,0,40.0,157.0
25,0,40.0,156.0
26,0,40.0,155.0
27,0,40.0,154.0
28,0,40.0,153.0
29,0,40.0,152.0
30,1,197.0,187.0
31,1,198.0,187.0
32,1,199.0,187.0
33,1,200.0,187.0
34,1,201.0,187.0
35,1,202.0,187.0
36,1,203.0,187.0
37,1,204.0,187.0
38,1,205.0,187.0
39,1,206.0,187.0
40,1,207.0,187.0
41,1,208.0,186.0
42,1,209.0,186.0
43,1,210.0,186.0
44,1,211.0,186.0
45,1,212.0,186.0
46,1,213.0,185.0
47,1,214.0,185.0
48,1,215.0,184.0
49,1,216.0,184.0
50,1,217.0,184.0
51,1,218.0,184.0
52,1,219.0,184.0
53,1,220.0,184.0
54,1,221.0,184.0
55,1,222.0,184.0
56,1,223.0,184.0
57,1,224.0,185.0
58,1,225.0,185.0
59,1,226.0,185.0
60,1,227.0,186.0
61,1,228.0,186.0
62,1,229.0,186.0
63,1,229.0,186.0
64,1,230.0,187.0
65,1,231.0,188.0
66,1,232.0,188.0
67,1,233.0,189.0
68,1,234.0,189.0
69,1,235.0,190.0
70,1,236.0,191.0
71,1,237.0,192.0
72,1,238.0,193.0
73,1,239.0,193.0
74,1,240.0,194.0
75,1,241.0,195.0
76,1,242.0,195.0
77,1,243.0,195.0
78,1,244.0,195.0
79,1,245.0,196.0
80,1,246.0,196.0
81,1,247.0,196.0
82,1,248.0,196.0
83,1,249.0,196.0
84,1,250.0,196.0
85,1,251.0,196.0
86,1,252.0,196.0
87,1,253.0,196.0
88,1,254.0,196.0
89,1,255.0,196.0
90,1,256.0,196.0
91,1,257.0,196.0
92,1,258.0,196.0
93,1,259.0,196.0
94,1,260.0,196.0
95,2,441.0,150.0
96,2,442.0,149.0
97,3,7.0,318.0
98,3,8.0,318.0
99,3,8.0,317.0
100,3,9.0,319.0
101,3,10.0,320.0
102,3,11.0,320.0
103,3,12.0,321.0
104,3,13.0,321.0
105,3,14.0,321.0
106,3,15.0,322.0
107,3,16.0,322.0
108,3,17.0,322.0
109,3,18.0,322.0
110,3,19.0,322.0
111,3,20.0,322.0
112,3,21.0,323.0
113,3,22.0,323.0
114,3,23.0,323.0
115,3,24.0,323.0
116,3,25.0,323.0
117,3,26.0,323.0
118,4,84.0,29.0
119,4,85.0,29.0
120,4,86.0,29.0
121,4,87.0,30.0
122,4,88.0,30.0
123,4,89.0,30.0
124,4,90.0,30.0
125,4,91.0,30.0
126,4,92.0,30.0
127,4,93.0,29.0
128,5,324.0,180.0
129,5,323.0,181.0
130,5,323.0,182.0
131,6,48.0,426.0
132,6,49.0,426.0
133,6,50.0,426.0
134,7,115.0,222.0
135,7,115.0,222.0
