,Polylines,X,Y
0,0,158.0,230.0
1,0,158.0,231.0
2,0,158.0,232.0
3,0,158.0,233.0
4,0,158.0,234.0
5,0,158.0,235.0
6,0,158.0,236.0
7,0,158.0,237.0
8,0,158.0,238.0
9,0,157.0,239.0
10,0,157.0,240.0
11,0,157.0,241.0
12,0,157.0,242.0
13,0,157.0,243.0
14,0,157.0,244.0
15,0,157.0,245.0
16,0,157.0,246.0
17,0,157.0,247.0
18,0,157.0,248.0
19,0,157.0,249.0
20,0,158.0,250.0
21,0,159.0,250.0
22,0,160.0,250.0
23,0,161.0,251.0
24,1,254.0,35.0
25,1,255.0,34.0
26,1,255.0,33.0
27,1,255.0,32.0
28,1,255.0,31.0
29,1,255.0,30.0
30,1,255.0,29.0
31,1,255.0,28.0
32,1,255.0,27.0
33,2,69.0,236.0
34,2,69.0,237.0
35,2,70.0,238.0
36,2,70.0,239.0
37,2,70.0,240.0
38,2,71.0,241.0
39,2,71.0,242.0
40,2,72.0,243.0
41,2,73.0,244.0
42,2,74.0,245.0
43,2,75.0,246.0
44,2,76.0,247.0
45,2,76.0,248.0
46,2,76.0,249.0
47,2,77.0,249.0
48,2,78.0,250.0
49,3,185.0,108.0
50,3,185.0,109.0
51,3,184.0,110.0
52,3,183.0,111.0
53,3,183.0,112.0
54,3,183.0,113.0
55,3,182.0,114.0
56,3,181.0,115.0
57,3,181.0,116.0
58,3,181.0,117.0
59,3,180.0,118.0
60,3,179.0,119.0
61,3,179.0,120.0
62,3,178.0,121.0
63,3,178.0,121.0
64,3,177.0,122.0
65,3,177.0,123.0
66,3,176.0,124.0
67,3,176.0,125.0
68,3,176.0,125.0
69,3,175.0,126.0
70,3,174.0,127.0
71,3,174.0,128.0
72,3,174.0,129.0
73,3,173.0,130.0
74,3,173.0,131.0
75,3,172.0,132.0
76,3,172.0,133.0
77,3,172.0,134.0
78,3,171.0,135.0
79,3,171.0,136.0
80,3,171.0,137.0
81,3,171.0,138.0
82,3,170.0,139.0
83,3,170.0,140.0
84,3,170.0,141.0
85,3,170.0,142.0
86,3,170.0,143.0
87,3,170.0,144.0
88,3,170.0,145.0
89,3,170.0,146.0
90,3,170.0,147.0
91,3,169.0,148.0
92,3,169.0,149.0
93,3,169.0,150.0
94,3,169.0,151.0
95,3,169.0,152.0
96,3,169.0,153.0
97,3,169.0,154.0
98,3,169.0,155.0
99,3,169.0,156.0
100,3,169.0,157.0
101,3,169.0,158.0
102,3,169.0,159.0
103,3,169.0,160.0
104,3,169.0,161.0
105,3,169.0,162.0
106,3,168.0,163.0
107,3,168.0,164.0
108,3,168.0,165.0
109,3,168.0,166.0
110,3,169.0,167.0
111,3,169.0,168.0
112,3,169.0,169.0
113,3,168.0,170.0
114,3,168.0,171.0
115,3,168.0,172.0
116,3,168.0,173.0
117,3,168.0,174.0
118,3,168.0,175.0
119,3,168.0,176.0
120,3,168.0,177.0
121,3,168.0,178.0
122,3,167.0,179.0
123,3,167.0,180.0
124,3,167.0,181.0
125,3,167.0,182.0
126,3,167.0,183.0
127,3,166.0,184.0
128,3,166.0,185.0
129,3,166.0,186.0
130,3,165.0,187.0
131,3,165.0,188.0
132,3,165.0,189.0
133,3,164.0,190.0
134,3,164.0,191.0
135,3,163.0,192.0
136,3,163.0,193.0
